yemek_id,yemek_adi,kalori (kcal),protein (g),karbonhidrat (g),yag (g),porsiyon_turu,minimum_porsiyon_boyutu,porsiyon_artıs_birimi,porsiyon_metrik_türü,porsiyon_metrik,ana_bilesenler,tarif,maksimum_porsiyon
47,Tavuklu sebzeli noodle,250.5,11.0,19.0,14.5,kase,0.5,0.5,gram,275,"tavuk göğsü, noodle, brokoli, havuç, soya sosu",Tavukları küp küp doğrayın ve tavada soteleyin. Ardından doğranmış brokoli ve havuç ekleyin. Noodle'ları haşlayıp sebzelerle karıştırın. Soya sosu ekleyip birkaç dakika pişirin ve servis edin.,4.0
48,Etli yaprak sarması,31.92,1.11,5.88,0.44,adet,3.0,1.0,gram,33,"asma yaprağı, kıyma, pirinç, soğan, zeytinyağı","Kıyma, pirinç, doğranmış soğan, zeytinyağı ve baharatlarla iç harç hazırlanır. Asma yaprağına sarılarak tencereye dizilir ve kısık ateşte pişirilir.",25.0
49,Tavuklu sebzeli pilav,37.4,1.8,5.3,1.0,yemek kaşığı,3.0,1.0,gram,25,"tavuk göğsü, pirinç, havuç, bezelye, biber, soğan",Tavuk göğsünü küp şeklinde doğrayın ve yağda soteleyin. Doğranmış soğan ve biberi ekleyip kavurun. Pirinç ve doğranmış sebzeleri ekleyerek karıştırın. Üzerine su ekleyip pişmeye bırakın.,21.0
50,Izgara somon,122.0,13.0,1.75,7.0,dilim,0.5,0.5,gram,150,"somon, zeytinyağı, limon, tuz, karabiber","Somon dilimini zeytinyağı, limon suyu, tuz ve karabiberle marine edin. Önceden ısıtılmış ızgarada her iki tarafını da yaklaşık 4-5 dakika pişirin.",5.0
51,Zeytinyağlı enginar,145.42000000000002,4.96,20.28,4.94,adet,1.0,1.0,gram,200,"enginar, zeytinyağı, havuç, patates, bezelye","Enginarlar temizlenip limonlu suda bekletilir. Zeytinyağında soğan, havuç, patates ve bezelye kavrulur. Enginarlar eklenip üzerine su ve limon suyu ilave edilerek pişirilir.",5.0
52,Quinoa salatası,227.15000000000003,7.2,29.0,9.15,kase,0.5,0.5,gram,380,"kinoa, domates, salatalık, zeytinyağı, limon suyu, maydanoz","Kinoa haşlanır ve soğutulur. Doğranmış domates, salatalık ve maydanoz ile karıştırılır. Üzerine zeytinyağı ve limon suyu eklenerek servis edilir.",4.0
53,Laz böreği,454.60999999999996,6.19,69.46,16.89,dilim,1.0,0.5,gram,215,"un, süt, şeker, yumurta, tereyağı, nişasta","Laz böreği, ince açılmış yufkaların arasında muhallebi ve üzerine dökülen şerbetle hazırlanan bir tatlıdır. Yufkaların üstüne eritilmiş tereyağı sürülerek kat kat dizilir ve muhallebi eklenir. Fırında pişirilip şerbet dökülerek servis edilir.",5.0
54,Çilek,4.36,0.08,0.92,0.04,adet,1.0,1.0,gram,12,çilek,Çilekleri yıkayıp temizleyin ve doğrayarak taze servis edin.,30.0
55,Kıymalı Makarna,14.54,0.72,1.79,0.5,yemek kaşığı,3.0,1.0,gram,20,"makarna, kıyma, domates sosu, soğan, zeytinyağı",Makarna haşlanır. Soğanlar doğranır ve zeytinyağında kavrulur. Kıyma eklenir ve pişirilir. Domates sosu ilave edilir. Haşlanmış makarna ile karıştırılır.,21.0
56,Salata,34.5,0.85,4.4,1.5,kase,1.0,0.5,gram,150,"marul, domates, salatalık, zeytinyağı, limon","Marul, domates ve salatalığı doğrayın. Zeytinyağı ve limon suyu ile karıştırarak servis edin.",5.0
57,Kıymalı Ispanak Yemeği,11.04,0.74,0.67,0.6,yemek kaşığı,4.0,1.0,gram,15,"ıspanak, kıyma, soğan, zeytinyağı, salça","Soğanları zeytinyağında kavurun, kıymayı ekleyip pişirin. Salça ekleyip karıştırın. Ispanakları ekleyip kısık ateşte pişirin. Baharatlarla tatlandırın.",20.0
58,Pirinç Pilavı,34.64,0.49,5.47,1.2,yemek kaşığı,3.0,1.0,gram,30,"pirinç, su, tereyağı veya sıvı yağ, tuz","Pirinç yıkanır ve süzülür. Tereyağı veya sıvı yağ tencerede eritilir, pirinç eklenir ve kavrulur. Üzerine su ve tuz eklenip, kısık ateşte suyunu çekene kadar pişirilir.",21.0
59,Kaşarlı Makarna,38.8,1.3,4.8,1.6,yemek kaşığı,3.0,1.0,gram,25,"makarna, kaşar peyniri, tereyağı",Makarnayı haşlayın ve süzün. Tereyağını eritip makarnayı ekleyin. Rendelenmiş kaşar peynirini karıştırarak eriyene kadar pişirin.,21.0
60,Elma,69.0,0.3,16.5,0.2,adet,1.0,1.0,gram,120,elma,Elmayı yıkayın ve çekirdeklerini çıkararak dilimleyin. İsteğe bağlı olarak kabuğunu soyabilirsiniz.,5.0
61,Tavuklu Sebze Sote,49.900000000000006,5.0,1.4,2.7,yemek kaşığı,4.0,1.0,gram,30,"tavuk göğsü, kırmızı biber, kabak, soğan, sarımsak","Tavuk göğsünü küp şeklinde doğrayın ve yağda soteleyin. Üzerine doğranmış sebzeleri ekleyin. Tuz, karabiber ve isteğe bağlı baharatlarla tatlandırın. Sebzeler yumuşayana kadar pişirin.",20.0
62,Fırında Balık,162.6,36.6,0.0,1.8,adet,1.0,1.0,gram,200,"balık fileto, zeytinyağı, limon, sarımsak, baharatlar","Balık filetolarını zeytinyağı, limon suyu, ezilmiş sarımsak ve baharatlarla marine edin. 180 derece önceden ısıtılmış fırında 20-25 dakika pişirin.",5.0
63,Peynirli Omlet,206.24,12.46,1.3,16.8,adet,1.0,1.0,gram,100,"yumurta, peynir, tereyağı","Yumurtaları çırpın, tereyağında tavada pişirin ve peyniri ekleyin. Altın rengi olana kadar pişirin.",5.0
64,Çavdar Ekmeği,30.5,0.9,6.5,0.1,dilim,1.0,0.5,gram,30,"çavdar unu, su, maya, tuz","Çavdar ununu su, maya ve tuz ile karıştırarak hamur yapın, mayalanmaya bırakın ve ardından önceden ısıtılmış fırında pişirin.",10.0
65,Portakal,30.150000000000002,0.7,6.5,0.15,adet,0.5,0.5,gram,140,portakal,Portakalı soyun ve dilimleyerek tüketin.,4.0
66,Kırmızı Etli Yeşil Mercimek Yemeği,35.5,2.7,2.8,1.5,yemek kaşığı,4.0,1.0,gram,25,"yeşil mercimek, kırmızı et, soğan, domates salçası, zeytinyağı","Yeşil mercimekler haşlanır. Küp doğranmış kırmızı et tencereye alınıp kavrulur, ardından soğan ve salça eklenir. Haşlanmış mercimekler ve su eklenir, pişmeye bırakılır.",20.0
67,Patlıcanlı Kıyma Sote,19.700000000000003,1.2,0.8,1.3,yemek kaşığı,4.0,1.0,gram,30,"patlıcan, kıyma, soğan, domates","Patlıcanları küp şeklinde doğrayın ve kızartın. Soğanı doğrayıp kavurun, kıymayı ekleyin ve pişirin. Domatesleri ekleyin, ardından kızarmış patlıcanları katın. Bir süre daha pişirin ve servis yapın.",20.0
68,Tavuklu Brokoli Sote,19.95,3.5,0.7,0.35,yemek kaşığı,4.0,1.0,gram,30,"tavuk göğsü, brokoli, zeytinyağı, soya sosu, sarımsak","Tavuk parçalarını ve brokoliyi zeytinyağı ile soteleyin, üzerine sarımsak ve soya sosu ekleyerek pişirin.",20.0
69,Fırında Sebzeli Balık,162.6,36.6,0.0,1.8,adet,1.0,1.0,gram,200,"balık fileto, patates, havuç, kabak, zeytinyağı",Balık filetolarını doğranmış sebzelerle birlikte fırın tepsisine dizin. Üzerine zeytinyağı gezdirin ve baharat ekleyin. Önceden ısıtılmış 180°C fırında 30-35 dakika pişirin.,4.0
70,Etli Sebze Yemeği,29.299999999999997,1.6,1.45,1.9,yemek kaşığı,4.0,1.0,gram,30,"dana eti, patates, havuç, soğan, yeşil biber, domates","Dana eti küçük parçalar halinde doğranır ve tencereye alınır. Üzerine doğranmış soğan eklenip kavrulur. Ardından doğranmış patates, havuç, yeşil biber ve domates eklenir. Tuz ve baharatlar ilave edilip biraz su eklenerek kısık ateşte pişirilir.",20.0
71,Fırında Tavuk,113.5,26.8,0.0,0.7,tabak,0.5,0.5,gram,200,"tavuk göğsü, zeytinyağı, baharatlar","Tavuk göğsünü zeytinyağı ve baharatlarla marine edip, önceden ısıtılmış fırında 180 derecede 25-30 dakika pişirin.",4.0
72,Tavuklu Mantar Sote,19.17,2.19,1.05,0.69,yemek kaşığı,4.0,1.0,gram,30,"tavuk, mantar, soğan, sarımsak, biber","Tavukları küp şeklinde doğrayın ve bir tavada az yağ ile soteleyin. Üzerine doğranmış soğan, mantar ve biber ekleyin. Sarımsak ve baharatlarla tatlandırarak pişirin.",20.0
73,Ispanaklı Peynirli Omlet,119.70000000000002,8.5,1.4,8.9,adet,0.5,0.5,gram,200,"yumurta, ıspanak, beyaz peynir, zeytinyağı",Yumurtaları çırpın ve içine doğranmış ıspanak ve beyaz peyniri ekleyin. Zeytinyağını tavada ısıtın ve karışımı tavaya dökün. Omleti her iki tarafı da pişene kadar orta ateşte pişirin.,4.0
74,Böğürtlenli Yoğurt,525.5,46.0,55.0,13.5,kase,0.5,0.5,gram,200,"yoğurt, böğürtlen, bal",Bir kase yoğurdun içine taze böğürtlen ve bir miktar bal ekleyip karıştırın.,5.0
75,Ceviz,35.9,0.8,0.3,3.5,adet,1.0,1.0,gram,5,ceviz,Cevizleri kabuklarından ayıklayın ve doğrudan tüketin.,5.0
76,Tavuklu Nohut Salatası,31.04,1.8,3.8,0.96,yemek kaşığı,4.0,1.0,gram,20,"tavuk göğsü, nohut, marul, domates, salatalık, zeytinyağı","Tavuk göğsünü haşlayın ve küçük parçalara ayırın. Nohutları haşlayın. Marul, domates ve salatalığı doğrayın. Tüm malzemeleri bir kaseye alın, zeytinyağı ve baharatlarla karıştırarak servis edin.",20.0
77,Etli Türlü,29.299999999999997,1.6,1.45,1.9,yemek kaşığı,4.0,1.0,gram,20,"kuzu eti, patlıcan, biber, domates, patates, soğan","Kuzu etini küp şeklinde doğrayın ve tencerede kavurun. Üzerine doğranmış soğan, biber, patlıcan, domates ve patates ekleyin. Baharatlarla tatlandırıp kısık ateşte pişirin.",20.0
78,Menemen,25.019999999999996,1.23,1.2,1.7,yemek kaşığı,4.0,1.0,gram,35,"yumurta, domates, biber, zeytinyağı","Zeytinyağında doğranmış biberleri kavurun, ardından rendelenmiş domatesleri ekleyip pişirin. Çırpılmış yumurtaları karışıma ekleyip karıştırarak pişirin.",20.0
79,Mısır Ekmeği,38.4,1.2,7.5,0.4,dilim,1.0,0.5,gram,30,"mısır unu, su, tuz, maya","Mısır ununu su, tuz ve maya ile karıştırarak hamur elde edin. Hamuru dinlendirip, önceden ısıtılmış fırında pişirin.",10.0
80,Türk Kahvesi,0.0,0.0,0.0,0.0,fincan,1.0,1.0,ml,60,"Türk kahvesi, su","Türk kahvesi ve suyu cezvede karıştırın, kısık ateşte köpürene kadar pişirin ve fincana dökün.",4.0
81,Badem,159.7,4.65,4.9,13.5,avuç,1.0,1.0,gram,30,çiğ badem,"Çiğ badem, kabukları ayıklanmış ve doğal haliyle tüketilen bademdir. Atıştırmalık olarak doğrudan yenebilir.",8.0
82,Kıymalı Kabak Dolması,91.0,6.2,6.2,4.6,adet,1.0,1.0,gram,125,"kabak, kıyma, pirinç, domates salçası, soğan, zeytinyağı","Kabakların içi oyulur ve kıyma, pirinç, soğan, salça ve baharatlarla hazırlanan harçla doldurulur. Tencereye dizilip üzerine su eklenir ve pişirilir.",10.0
83,Tavuk Şiş,105.76,15.72,1.72,4.0,adet,1.0,1.0,gram,85,"tavuk göğsü, biber, soğan, zeytinyağı, baharatlar","Tavuk göğsü küp şeklinde doğranır, biber ve soğan ile şişe dizilir. Zeytinyağı ve baharatlarla marine edilip ızgarada pişirilir.",15.0
84,Kepekli Ekmek,53.6,1.5,11.0,0.4,dilim,1.0,1.0,gram,25,"kepekli un, su, maya, tuz","Kepekli un, su, maya ve tuz karıştırılıp yoğrulur. Hamur mayalandıktan sonra şekil verilip pişirilir.",10.0
85,Kefir,104.80000000000001,5.4,6.4,6.4,su bardağı,1.0,1.0,ml,200,"süt, kefir mayası",Sütü kaynatıp soğuttuktan sonra kefir mayası ekleyin ve 24 saat bekletin.,5.0
86,Kuskus,30.8,0.98,6.0,0.32,yemek kaşığı,3.0,1.0,gram,15,"kuskus, su, tuz, zeytinyağı","Kuskusu kaynar su ve tuz ile bir tencereye koyun. Üzerine zeytinyağı ekleyin, karıştırın ve kapağını kapatıp demlenmeye bırakın. 10 dakika sonra karıştırarak servis edin.",21.0
87,Kuzu Kapama,143.5,21.0,2.5,5.5,tabak,0.5,0.5,gram,300,"kuzu eti, soğan, patates, havuç, yeşil biber, domates","Kuzu eti, soğan, patates, havuç, yeşil biber ve domates ile birlikte tencereye konur. Üzerine su eklenerek kısık ateşte pişirilir.",3.0
88,Fırında Patates,59.0,0.9,8.0,2.6,tabak,0.5,0.5,gram,110,"patates, zeytinyağı, tuz",Patatesleri yıkayıp kabuklarıyla dilimleyin. Zeytinyağı ve tuz ile karıştırıp fırın tepsisine dizin. 200°C'de 30-40 dakika pişirin.,4.0
89,Peynirli Lor Böreği,245.29999999999998,9.4,36.4,6.9,dilim,1.0,1.0,gram,145,"lor peyniri, un, süt, yumurta, tereyağı","Un, süt ve yumurta ile hazırlanan hamur, lor peyniri ile doldurularak fırında pişirilir.",6.0
90,Salatalık,6.300000000000001,0.35,1.0,0.1,adet,0.5,0.5,gram,120,salatalık,"Salatalığı yıkayın, dilimleyin ve servis edin.",3.0
91,Çay,0.0,0.0,0.0,0.0,fincan,1.0,1.0,ml,200,"su, çay yaprağı",Çay yapraklarını sıcak suya ekleyip birkaç dakika demleyin.,5.0
92,Armut,124.6,0.7,30.0,0.2,adet,1.0,1.0,gram,200,armut,"Armut yıkanır, isteğe göre kabuğu soyulur ve dilimlenerek servis edilir.",5.0
93,Izgara Köfte,49.4,4.3,1.3,3.0,adet,1.0,1.0,gram,30,"kıyma, soğan, ekmek kırıntısı, yumurta, baharatlar","Kıymayı soğan, ekmek kırıntısı, yumurta ve baharatlarla karıştırın. Karışımdan köfteler yapıp ızgarada pişirin.",10.0
94,Yumurta Kapama,124.23,6.42,0.81,10.59,adet,1.0,1.0,gram,58,"yumurta, tereyağı, baharatlar","Yumurtalar haşlanır ve soyulur. Tereyağında baharatlar kavrulur, haşlanmış yumurtalar eklenerek kısa süre pişirilir.",10.0
95,Muzlu Smoothie,181.15,6.44,31.49,3.27,su bardağı,1.0,1.0,ml,350,"muz, süt, yoğurt, bal","Muzu dilimleyin ve süt, yoğurt ve bal ile birlikte blenderda pürüzsüz hale gelene kadar karıştırın.",6.0
96,Tavuklu Sebze Güveç,55.900000000000006,3.2,2.0,3.9,yemek kaşığı,4.0,1.0,gram,30,"tavuk, kabak, patlıcan, biber, domates, soğan, sarımsak","Tavuk parçalarını ve doğranmış sebzeleri zeytinyağı ile güveçte kavurun, baharat ekleyip pişirin.",20.0
98,Etli Karnıyarık,189.12,11.1,8.73,12.2,adet,1.0,1.0,gram,345,"patlıcan, kıyma, domates, biber, soğan","Patlıcanlar uzunlamasına kesilir ve kızartılır. Kıyma, soğan ve biberle kavrulur. Patlıcanların içine kıymalı harç doldurulur ve üzerine domates dilimleri konur. Fırında pişirilir.",5.0
